time,open,high,low,close,MA,Volume,Volume MA,Plot,Gross profit,Free cash flow,RSI,MOM,U.S. Inflation
1587389400,192.14,192.27,180.17,184.62,185.25,2660209,2417743.5,1.826955087,1246200000,714300000,51.62335014,10.88,0.339174232
1587475800,179.5,182.59,170.93,178.02,185.3844444,2532599,2351945,1.640483969,1246200000,714300000,48.0459453,-4.42,0.339174232
1587562200,181.41,182.42,177.33,179.39,185.2088889,1794335,2283046.9,1.521045111,1246200000,714300000,48.83849504,2.58,0.339174232
1587648600,178.79,181.9798,177.66,178.48,183.9111111,1348533,2142693.9,1.393342856,1246200000,714300000,48.31131201,-2.49,0.339174232
1587735000,181.29,183.62,179.24,182.72,183.9155556,1483556,2037152.5,1.400189957,1246200000,714300000,50.96711437,-7.44,0.339174232
1587994200,184.58,188.815,183.45,187.75,183.88,2104630,2025425.7,1.532293158,1246200000,714300000,53.9875032,5.07,0.339174232
1588080600,188.5,192,183.18,184.32,183.8066667,2140286,2017456.55,1.530012006,1246200000,714300000,51.65100734,-3.75,0.339174232
1588167000,186.67,190.76,181.12,181.47,183.1544444,2394609,2009870.15,1.438592452,1246200000,714300000,49.72532422,-3.51,0.339174232
1588253400,180.33,180.73,174.46,178.21,181.6644444,2413350,2013871.9,1.267840555,1246200000,714300000,47.54189106,-9.13,0.339174232
1588339800,175.45,176.95,171.71,173.65,180.4455556,2457163,2019959.5,1.002621024,1246200000,714300000,44.59234925,-17.97,0.223596258
1588599000,174.55,174.9984,170.6655,172.56,179.8388889,2274637,2046332.8,0.761901844,1246200000,714300000,43.89137252,-12.06,0.223596258
1588685400,175.09,180.7,173.39,178.51,179.7411111,1678192,2012257,0.734368224,1246200000,714300000,48.63775169,0.49,0.223596258
1588771800,179.53,180.4,173.41,173.7,179.21,1575738,1968606.85,0.581324402,1246200000,714300000,45.30150462,-5.69,0.223596258
1588858200,176.59,182.48,174.81,178.49,178.74,1716930,1970198.5,0.592927015,1246200000,714300000,49.04957426,0.01,0.223596258
1588944600,180.46,181.81,179.74,181.53,178.0488889,1445562,1883089.8,0.68461101,1246200000,714300000,51.32899923,-1.19,0.223596258
1589203800,178.97,185.11,178.38,184.17,178.0322222,1950232,1916088.9,0.825930809,1246200000,714300000,53.28361647,-3.58,0.223596258
1589290200,185.63,186.3911,179.14,179.18,177.7777778,1307668,1886198.4,0.796711989,1246200000,714300000,49.2569962,-5.14,0.223596258
