time,open,high,low,close,MA,Volume,Volume MA,Plot,Gross profit,Free cash flow,RSI,MOM,U.S. Inflation
1572355800,72.08,73.12,71.44,72.56,72.07111111,5719869,5582404.9,0.37383443,6274000000,1349000000,54.78104001,1.44,1.774621489
1572442200,78.24,82.96,77.68,80.88,73.02222222,26992920,6634244.25,0.605054468,6274000000,1349000000,72.37600288,9.68,1.774621489
1572528600,80.4,81.68,78.88,79.84,73.92888889,10829233,6807203.2,0.748840975,6274000000,1349000000,68.77366338,7.52,1.774621489
1572615000,80.64,83.08,80.48,83.04,75.34222222,10256664,6991799.4,0.936918657,6274000000,1349000000,73.19459451,11.36,2.043730372
1572877800,83.36,87.6,83.36,87.44,77.00444444,12222505,7399796.55,1.18850517,6274000000,1349000000,77.84023187,17.12,2.043730372
1572964200,87.36,87.76,85.76,87.76,78.63111111,8922717,7559708,1.37450302,6274000000,1349000000,78.13699825,15.28,2.043730372
1573050600,87.44,88.8,86.32,88.16,80.47111111,9750290,7839583.85,1.50826188,6274000000,1349000000,78.52416166,15.04,2.043730372
1573137000,88.8,90.52,88.72,90.32,82.50666667,8885285,8072852.95,1.64641395,6274000000,1349000000,80.52930079,18.72,2.043730372
1573223400,89.84,92.4,89.12,92.16,84.68444444,7817880,8111651.7,1.776515661,6274000000,1349000000,82.06545072,20.16,2.043730372
1573482600,91.2,92,89.92,90.8,86.71111111,5699265,8182481.8,1.811040732,6274000000,1349000000,77.21628811,18.24,2.043730372
1573569000,90.56,92.64,90.32,91.36,87.87555556,6117867,8242253.7,1.822136218,6274000000,1349000000,77.79803178,18.8,2.043730372
1573655400,90.32,90.84,89.44,90.32,89.04,6789621,8218265.2,1.770923414,6274000000,1349000000,74.01817324,9.44,2.043730372
1573741800,89.44,90.8,89.44,90.32,89.84888889,3855381,8202848.85,1.69969166,6274000000,1349000000,74.01817324,10.48,2.043730372
1573828200,90.72,92.4,90.64,92.16,90.37333333,4781061,8198053.3,1.66327671,6274000000,1349000000,76.37354444,9.12,2.043730372
1574087400,91.28,92,90.64,91.52,90.79111111,6373776,8118043.1,1.586782635,6274000000,1349000000,73.86526023,4.08,2.043730372
1574173800,91.44,92.36,90.08,92,91.21777778,5854647,8034702.25,1.510166466,6274000000,1349000000,74.54060846,4.24,2.043730372
1574260200,91.52,91.92,90.08,91.12,91.30666667,5837943,8028716.9,1.397358334,6274000000,1349000000,70.92219753,2.96,2.043730372
1574346600,90.64,92.92,90.48,92.24,91.31555556,5211094,8057867,1.311915779,6274000000,1349000000,72.73617454,1.92,2.043730372
1574433000,91.92,93.76,91.92,92.4,91.49333333,4810231,8034880.75,1.222661494,6274000000,1349000000,72.9953509,0.24,2.043730372
1574692200,93.28,94.72,92.56,92.64,91.63555556,7089752,8190900.05,1.133628743,6274000000,1349000000,73.40376867,1.84,2.043730372
1574778600,92.96,93.36,90.48,90.8,91.68888889,8028127,8306312.95,0.989514529,6274000000,1349000000,65.25534758,-0.56,2.043730372
1574865000,91.12,91.76,90.08,90.32,91.68888889,5688516,7241092.75,0.841423784,6274000000,1349000000,63.28182455,0,2.043730372
