time,open,high,low,close,MA,Volume,Volume MA,Plot,Gross profit,Free cash flow,RSI,MOM,U.S. Inflation
1572010200,35.78,36.82,35.76,36.74,36.29777778,8735581,8962860.15,0.032768562,4579000000,878000000,53.44046922,1.17,1.774621489
1572269400,37.21,37.3,36.49,36.64,36.34,10645494,9115556.25,0.052171071,4579000000,878000000,52.61283455,1.14,1.774621489
1572355800,37.6,38.7,37.6,38.21,36.51333333,18562512,9537277,0.109993986,4579000000,878000000,62.44628005,1.95,1.774621489
1572442200,38.26,38.26,37.415,37.91,36.70444444,7393204,9252538.7,0.146064295,4579000000,878000000,59.88888682,1.26,1.774621489
1572528600,37.62,37.91,36.86,37.16,36.81444444,7652749,9029036.4,0.152432582,4579000000,878000000,53.94134628,0.97,1.774621489
1572615000,37.21,38.07,37.21,37.97,37.04111111,7925272,9069767.7,0.177805668,4579000000,878000000,58.71047945,1.8,2.043730372
1572877800,38.35,38.49,38.22,38.39,37.27222222,7782292,9115501.35,0.206908257,4579000000,878000000,60.96734289,2.46,2.043730372
1572964200,38.61,38.89,38.21,38.23,37.45222222,7317805,8920326.75,0.222667121,4579000000,878000000,59.6301721,1.92,2.043730372
1573050600,38.37,38.48,37.76,38.42,37.74111111,7280889,8966260.5,0.23720674,4579000000,878000000,60.73158778,1.81,2.043730372
1573137000,38.6,38.9,38.46,38.49,37.93555556,8070100,8820955.05,0.247234884,4579000000,878000000,61.15211188,2.67,2.043730372
1573223400,38.42,38.67,37.82,38.67,38.16111111,5913061,8504630.6,0.256489733,4579000000,878000000,62.27098832,1.93,2.043730372
1573482600,38.6,38.8,38.38,38.72,38.21777778,3907447,8417303.35,0.261387288,4579000000,878000000,62.59327812,2.08,2.043730372
1573569000,38.74,38.955,38.36,38.59,38.29333333,12687640,8515707.7,0.257860078,4579000000,878000000,61.13112932,0.38,2.043730372
1573655400,38.4,38.4,37.09,37.19,38.29666667,12558966,8475842.45,0.213385461,4579000000,878000000,48.10008826,-0.72,2.043730372
1573741800,37.1,37.45,36.69,36.8,38.16666667,13024434,8690107.35,0.165097266,4579000000,878000000,45.20899062,-0.36,2.043730372
1573828200,37,37.11,36.725,36.89,38,12358880,8965071.05,0.127561427,4579000000,878000000,46.01538864,-1.08,2.043730372
1574087400,36.68,36.83,36.39,36.62,37.82111111,9768476,9082030.95,0.089191962,4579000000,878000000,43.92669558,-1.77,2.043730372
1574173800,36.67,36.7,36.005,36.38,37.59444444,10538836,9270295.1,0.051575357,4579000000,878000000,42.0975006,-1.85,2.043730372
1574260200,36.21,36.26,35.18,35.28,37.23777778,14064739,9650092.65,-0.008144146,4579000000,878000000,34.92001932,-3.14,2.043730372
1574346600,35.53,35.58,34.59,34.67,36.79333333,14379801,10028408.9,-0.070796771,4579000000,878000000,31.69300421,-3.82,2.043730372
1574433000,35.27,35.5,34.93,35.33,36.41666667,13567091,10269984.4,-0.100317871,4579000000,878000000,38.33314251,-3.34,2.043730372
1574692200,35.45,35.89,35.35,35.81,36.10777778,12211451,10348282.25,-0.108474763,4579000000,878000000,42.69607315,-2.91,2.043730372
1574778600,35.7,35.93,35.51,35.91,35.96555556,8248704,9832591.85,-0.110159182,4579000000,878000000,43.59146828,-2.68,2.043730372
1574865000,36.01,36.27,35.85,36.14,35.89222222,5841215,9754992.4,-0.103234119,4579000000,878000000,45.69329227,-1.05,2.043730372
1575037800,36.05,36.13,35.855,36,35.79333333,3927026,9568706.25,-0.099714474,4579000000,878000000,44.60383884,-0.8,2.043730372
1575297000,36.01,36.36,35.84,35.88,35.71111111,6785427,9511714,-0.098319833,4579000000,878000000,43.64330701,-1.01,2.261448832
1575383400,35.47,35.62,34.96,35.53,35.61666667,8276601,9536429.45,-0.104788648,4579000000,878000000,40.8782547,-1.09,2.261448832
1575469800,35.74,36.05,35.68,35.8,35.67444444,8963211,9618699.75,-0.100441543,4579000000,878000000,43.83446938,-0.58,2.261448832
1575556200,35.6,35.65,35.22,35.31,35.74555556,6893942,9599352.4,-0.108301675,4579000000,878000000,39.93210411,0.03,2.261448832
1575642600,35.64,35.76,35.445,35.54,35.76888889,8404793,9616087.05,-0.105988368,4579000000,878000000,42.51885162,0.87,2.261448832
1575901800,35.45,35.59,35.35,35.38,35.72111111,7055524,9673210.2,-0.106332094,4579000000,878000000,41.18998888,0.05,2.261448832
1575988200,35.35,35.38,34.96,35.11,35.63222222,7597677,9857721.7,-0.111673653,4579000000,878000000,38.97624651,-0.7,2.261448832
1576074600,35.13,35.41,35.1,35.24,35.53222222,7754440,9611061.7,-0.109944543,4579000000,878000000,40.63072609,-0.67,2.261448832
1576161000,35.34,36.29,35.24,36.1,35.54333333,11356779,9550952.35,-0.08295721,4579000000,878000000,50.24170765,-0.04,2.261448832
1576247400,36.16,36.335,35.61,35.65,35.51777778,8278120,9313636.65,-0.072220936,4579000000,878000000,46.04164663,-0.35,2.261448832
1576506600,35.82,36.245,35.65,36.11,35.58222222,11233742,9257379.75,-0.049621133,4579000000,878000000,50.58886719,0.23,2.261448832
1576593000,36.2,36.39,36.11,36.31,35.63888889,8871899,9212550.9,-0.025194442,4579000000,878000000,52.46455993,0.78,2.261448832
1576679400,36.34,37.43,36.33,37.31,35.86111111,12651699,9318194.05,0.02191791,4579000000,878000000,60.5320146,1.51,2.261448832
1576765800,37.31,37.36,36.835,37.26,36.05222222,10774129,9153663.55,0.057457713,4579000000,878000000,59.98385368,1.95,2.261448832
1576852200,37.54,37.62,37.19,37.25,36.26,13976425,9133494.75,0.084501284,4579000000,878000000,59.86708518,1.71,2.261448832
1577111400,37.39,37.41,36.63,36.77,36.44444444,8755973,8892938.85,0.09176141,4579000000,878000000,54.39358689,1.39,2.261448832
1577197800,36.73,36.74,36.5,36.58,36.59333333,2924240,8428578.3,0.0913608,4579000000,878000000,52.35317907,1.47,2.261448832
1577370600,36.59,36.6,36.33,36.48,36.63555556,5444305,8288358.35,0.087422705,4579000000,878000000,51.2632297,1.24,2.261448832
1577457000,36.56,36.71,36.43,36.56,36.73666667,5753508,8283973,0.085642975,4579000000,878000000,52.12199402,0.46,2.261448832
1577716200,36.5,36.64,36.2,36.44,36.77333333,5358455,8355544.45,0.080124957,4579000000,878000000,50.6794629,0.79,2.261448832
1577802600,36.37,36.735,36.32,36.6,36.80555556,5160227,8274284.45,0.079343986,2028000000,-3183000000,52.56454663,0.49,2.261448832
1577975400,37,37.38,36.55,37.38,36.81333333,7457292,8233319,0.099006895,2028000000,-3183000000,60.49220527,1.07,2.474241506
1578061800,36.73,36.92,36.11,36.32,36.70888889,9176038,8243960.35,0.084390873,2028000000,-3183000000,48.6041419,-0.99,2.474241506
1578321000,35.95,36.18,35.8,35.84,36.55222222,8413360,8319931.25,0.05906372,2028000000,-3183000000,44.3534542,-1.42,2.474241506
1578407400,35.75,35.84,34.74,35.15,36.37222222,17619967,8780689.95,0.020124303,2028000000,-3183000000,39.06459741,-2.1,2.474241506
1578493800,35.04,35.2,34.41,34.65,36.15777778,13229924,9089409.95,-0.023620523,2028000000,-3183000000,35.73891117,-2.12,2.474241506
1578580200,34.99,35.1,34.5301,35.08,36.00222222,9612874,9190169.8,-0.045211349,2028000000,-3183000000,40.43535982,-1.5,2.474241506
1578666600,35.15,36.45,34.505,34.65,35.79,9647800,9284837.8,-0.072513206,2028000000,-3183000000,37.48507109,-1.83,2.474241506
1578925800,34.69,35,34.49,34.98,35.62777778,7466898,9090343.75,-0.083213751,2028000000,-3183000000,41.04046269,-1.58,2.474241506
1579012200,35,35.35,34.96,35.15,35.46666667,6828798,9017877.65,-0.085153229,2028000000,-3183000000,42.84383923,-1.29,2.474241506
1579098600,35,35.32,34.89,35.15,35.21888889,7173939,8814887.5,-0.084830527,2028000000,-3183000000,42.84383923,-1.45,2.474241506
1579185000,35.21,35.58,35.15,35.55,35.13333333,7280804,8735332.75,-0.071900845,2028000000,-3183000000,47.246957,-1.83,2.474241506
1579271400,35.57,35.7286,35.41,35.6,35.10666667,9871725,8596334.05,-0.05883918,2028000000,-3183000000,47.78840766,-0.72,2.474241506
1579617000,35.36,35.55,34.96,34.99,35.08888889,11550514,8635153.3,-0.063728744,2028000000,-3183000000,42.10983226,-0.85,2.474241506
1579703400,35.13,35.3455,34.86,34.91,35.11777778,7358445,8304254.3,-0.068110661,2028000000,-3183000000,41.41478068,-0.24,2.474241506
1579789800,34.77,34.995,34.01,34.88,35.09555556,8595153,8296213.3,-0.070650793,2028000000,-3183000000,41.14054779,0.23,2.474241506
1579876200,34.9,34.99,34.01,34.31,35.05777778,9386634,8619333,-0.086310859,2028000000,-3183000000,36.23158441,-0.77,2.474241506
1580135400,33.63,33.76,33.17,33.41,34.88333333,10359128,8865074.15,-0.120806922,2028000000,-3183000000,30.12031338,-1.24,2.474241506
1580221800,33.57,33.86,33.34,33.64,34.71555556,8871039,9020950.7,-0.13874537,2028000000,-3183000000,33.22029231,-1.34,2.474241506
1580308200,33.8,34.04,33.59,33.6,34.54333333,6978347,9101945.3,-0.150797852,2028000000,-3183000000,32.9465546,-1.55,2.474241506
1580394600,33.4,33.45,32.97,33.33,34.29666667,11532975,9420582.7,-0.164258508,2028000000,-3183000000,31.08461683,-1.82,2.474241506
1580481000,33.25,33.49,33.14,33.39,34.05111111,18631359,9979286.05,-0.169606662,2028000000,-3183000000,32.00423844,-2.16,2.474241506
1580740200,33.56,34.34,33.52,33.72,33.91,17937071,10417337.7,-0.161202994,2028000000,-3183000000,36.98487837,-1.88,2.314512845
1580826600,34.35,34.82,34.2,34.37,33.85,14346267,10713983.05,-0.133540387,2028000000,-3183000000,45.45926695,-0.62,2.314512845
1580913000,34.9,35.45,34.19,35.03,33.86666667,19050389,10785504.15,-0.091053573,2028000000,-3183000000,52.45149697,0.12,2.314512845
1580999400,35.05,35.1,34.25,34.33,33.86888889,11866307,10717323.3,-0.074519851,2028000000,-3183000000,45.751981,-0.55,2.314512845
1581085800,34.08,34.16,33.425,33.63,33.89333333,14437134,10958536.3,-0.078378265,2028000000,-3183000000,40.21964604,-0.68,2.314512845
1581345000,33.99,34.3,33.67,34.25,33.96111111,12260561,11089174.35,-0.06225391,2028000000,-3183000000,46.40163772,0.84,2.314512845
1581431400,34.34,35.26,34.07,35.01,34.11777778,12718580,11351758.45,-0.027063352,2028000000,-3183000000,52.83967268,1.37,2.314512845
1581517800,35.33,35.79,35.13,35.49,34.35777778,12076328,11614134.95,0.014794295,2028000000,-3183000000,56.40159726,1.89,2.314512845
1581604200,35.21,35.53,35.16,35.29,34.56888889,7578794,11634377.7,0.042743382,2028000000,-3183000000,54.5527625,1.96,2.314512845
1581690600,35.3,35.39,34.42,34.76,34.68444444,8945950,11717635,0.050495716,2028000000,-3183000000,49.8859977,1.37,2.314512845
1582036200,34.25,34.74,33.955,34.41,34.68888889,10531932,11750645.35,0.047295549,2028000000,-3183000000,47.02507874,0.69,2.314512845
1582122600,34.53,35.1,34.52,34.92,34.67666667,9079526,11627095.95,0.058903076,2028000000,-3183000000,51.39888869,0.55,2.314512845
1582209000,34.66,35.4,34.59,35.29,34.78333333,7817861,11650066.75,0.078011071,2028000000,-3183000000,54.34401252,0.26,2.314512845
1582295400,34.99,35.08,34.41,34.65,34.89666667,8432370,11641927.6,0.075271035,2028000000,-3183000000,48.83183338,0.32,2.314512845
1582554600,33.64,33.75,32.79,33.09,34.76777778,14743094,11909750.6,0.030684783,2028000000,-3183000000,38.56392174,-0.54,2.314512845
1582641000,33.25,33.28,31.395,31.75,34.40555556,14621869,12122887.65,-0.039729641,2028000000,-3183000000,32.28427742,-2.5,2.314512845
1582727400,32.1,32.61,31.8853,32,34.01777778,14432820,12400976.7,-0.086013858,2028000000,-3183000000,34.42954727,-3.01,2.314512845
1582813800,31.3,31.915,30.55,30.71,33.50888889,14940354,12799077.05,-0.154466773,2028000000,-3183000000,29.27567436,-4.78,2.314512845
1582900200,29.78,30.5,29.33,30.5,33.03555556,20832323,13264044.45,-0.209743443,2028000000,-3183000000,28.52703392,-4.79,2.314512845
1583159400,30.52,31.45,29.74,31.42,32.70333333,14994619,13082207.45,-0.223240504,2028000000,-3183000000,36.22174346,-3.34,1.51172353
1583245800,31.5,32.3,30.26,30.52,32.21444444,15816152,12976161.5,-0.253262243,2028000000,-3183000000,32.53196656,-3.89,1.51172353
1583332200,31,31.565,30.355,31.53,31.79666667,16227821,13070239.2,-0.243846725,2028000000,-3183000000,39.92750768,-3.39,1.51172353
1583418600,30.54,30.77,30.01,30.1,31.29111111,17921345,13013787,-0.26991789,2028000000,-3183000000,34.20980182,-5.19,1.51172353
1583505000,29.21,29.54,28.45,28.69,30.80222222,20009524,13420947.85,-0.322486963,2028000000,-3183000000,29.69444046,-5.96,1.51172353
1583760600,26,26.12,24.15,24.69,30.01777778,28350596,14116620.95,-0.464770349,2028000000,-3183000000,21.16128647,-8.4,1.51172353
1583847000,25.98,27.14,24.59,27.12,29.47555556,18287699,14417977.85,-0.500222607,2028000000,-3183000000,33.63762917,-4.63,1.51172353
1583933400,26,26.62,25.76,26,28.95222222,21319198,14848008.75,-0.548063758,2028000000,-3183000000,31.18783589,-6,1.51172353
