time,open,high,low,close,MA,Volume,Volume MA,Plot,Gross profit,Free cash flow,RSI,MOM,U.S. Inflation
1572355800,65.69,66.1,64.95,65.89,65.80333333,6505925,6123115.55,0.09041992,11523000000,2327000000,60.61807236,1.06,1.774621489
1572442200,66.15,67.325,65.8455,67.05,65.86444444,8031976,6199039.25,0.116038267,11523000000,2327000000,65.26685077,1.64,1.774621489
1572528600,66.8,67.0999,65.716,66.39,65.89,6138491,6213890.5,0.113239005,11523000000,2327000000,60.86457637,-0.11,1.774621489
1572615000,66.86,67.59,66.71,67.24,66.06111111,6793339,6318455.15,0.129250056,11523000000,2327000000,64.2124996,1.08,2.043730372
1572877800,67.97,68.41,67.48,68.04,66.22555556,8822229,6535580.85,0.158209852,11523000000,2327000000,67.06798232,2.34,2.043730372
1572964200,68.25,68.65,67.125,67.32,66.41666667,15587460,6966640.5,0.155561613,11523000000,2327000000,62.25360763,0.76,2.043730372
1573050600,69.43,70.94,69.3,70.93,67.09333333,22382065,7823966.45,0.245554677,11523000000,2327000000,72.7973581,5.33,2.043730372
1573137000,71.94,72.09,71.18,71.78,67.83555556,11695861,8071163.55,0.331240219,11523000000,2327000000,74.59667106,6.94,2.043730372
1573223400,71.8,72.98,71.57,72.47,68.56777778,9247293,8219084.8,0.407753179,11523000000,2327000000,75.98530431,7.37,2.043730372
1573482600,71.98,72.75,71.57,71.73,69.21666667,5059742,8313504.4,0.437064089,11523000000,2327000000,71.47292307,5.85,2.043730372
1573569000,71.55,72.465,71,72.35,69.80555556,5030802,8153191.8,0.465909849,11523000000,2327000000,72.92373015,6.46,2.043730372
1573655400,71.83,73.285,71.71,72.82,70.52,5175054,8044204.15,0.489707482,11523000000,2327000000,74.00308693,5.77,2.043730372
1573741800,72.77,73.2492,72.63,72.94,71.15333333,4035629,7824680,0.4995586,11523000000,2327000000,74.2849458,6.55,2.043730372
1573828200,73.34,74.39,72.98,74.29,71.84777778,8768172,7950555.35,0.53153951,11523000000,2327000000,77.27057324,7.05,2.043730372
1574087400,74.15,75.13,74.11,75.1,72.71222222,8465550,8030348.95,0.565387095,11523000000,2327000000,78.85676449,7.06,2.043730372
1574173800,75.28,75.47,74.46,75.35,73.20333333,6927931,8060643.8,0.584784927,11523000000,2327000000,79.33607781,8.03,2.043730372
1574260200,75.25,75.49,74.34,74.92,73.55222222,6959372,8172573.45,0.57404269,11523000000,2327000000,76.13889301,3.99,2.043730372
1574346600,74.87,75.275,74.16,74.94,73.82666667,4339019,8102509.3,0.552051978,11523000000,2327000000,76.18696123,3.16,2.043730372
1574433000,75.28,75.7,75.09,75.31,74.22444444,5402128,8119196.35,0.530963679,11523000000,2327000000,77.10582042,2.84,2.043730372
1574692200,75.5,77.03,75.5,76.58,74.69444444,8810366,8208920.2,0.535091224,11523000000,2327000000,79.9636679,4.85,2.043730372
1574778600,76.76,76.79,74.64,74.94,74.93,10130253,8390136.6,0.479784052,11523000000,2327000000,68.13562209,2.59,2.043730372
1574865000,75.1,75.56,74.63,75.04,75.16333333,7824951,8379785.35,0.426149193,11523000000,2327000000,68.44214895,2.22,2.043730372
1575037800,74.69,75.4023,74.43,75.27,75.27222222,4463613,8296041.45,0.378048882,11523000000,2327000000,69.17658895,2.33,2.043730372
1575297000,75.22,75.91,75.01,75.55,75.32222222,5274420,8220095.5,0.336244077,11523000000,2327000000,70.08921241,1.26,2.261448832
1575383400,74.39,74.79,73.6,74.71,75.25111111,6401348,8099051.45,0.269571664,11523000000,2327000000,63.97002971,-0.39,2.261448832
1575469800,75.25,75.44,74.9,75,75.26,4959158,7567636.35,0.215157351,11523000000,2327000000,65.10278578,-0.35,2.261448832
1575556200,75.06,75.08,73.89,74.48,75.20888889,4901641,6693615.15,0.149140917,11523000000,2327000000,61.37659318,-0.44,2.261448832
1575642600,75.08,75.745,75,75.36,75.21444444,5104264,6364035.3,0.113021488,11523000000,2327000000,65.02487982,0.42,2.261448832
1575901800,75.03,75.49,74.8875,74.99,75.03777778,4875828,6145462.05,0.066826958,11523000000,2327000000,62.35781837,-0.32,2.261448832
1575988200,75,75.045,72.64,73.18,74.84222222,10944049,6439677.4,-0.025442813,11523000000,2327000000,51.27771814,-3.4,2.261448832
1576074600,73.07,73.7491,72.8401,73.35,74.65444444,7193930,6547833.8,-0.098399851,11523000000,2327000000,52.13791805,-1.59,2.261448832
1576161000,73.63,74.53,73.38,74.26,74.54222222,4775759,6527869.05,-0.135121607,11523000000,2327000000,56.55918642,-0.78,2.261448832
1576247400,74.22,74.54,73.58,73.59,74.32444444,3903206,6521247.9,-0.185832986,11523000000,2327000000,52.69926931,-1.68,2.261448832
