time,open,high,low,close,MA,Volume,Volume MA,Plot,Gross profit,Free cash flow,RSI,MOM,U.S. Inflation
1572355800,371.65,375.25,370.04,371.1,373.1966667,1298549,1166717.65,-1.928693461,2063000000,2182000000,37.53458401,-11.65,1.774621489
1572442200,373.22,378.99,371.47,378.64,373.3722222,1064902,1131772.05,-1.694745541,2063000000,2182000000,49.91117252,-4.2,1.774621489
1572528600,377.92,380.18,375.26,376.68,373.8388889,911811,1130920.35,-1.543843045,2063000000,2182000000,47.28825856,-0.38,1.774621489
1572615000,378.11,380.95,376.935,379.17,374.4077778,915629,1138106.05,-1.338877705,2063000000,2182000000,50.82390075,6.69,2.043730372
1572877800,379.93,380.78,372.18,374.48,374.4966667,1117519,1150764.8,-1.28910981,2063000000,2182000000,44.73712633,0.43,2.043730372
1572964200,374.06,375.77,371.31,373.63,374.5566667,1364210,1168903,-1.256267972,2063000000,2182000000,43.71528539,-0.05,2.043730372
1573050600,374.49,379.93,374.03,379.79,375.1177778,1505809,1208564.8,-1.046931681,2063000000,2182000000,52.23077925,6.7,2.043730372
1573137000,380.34,382.74,377.91,378.75,376.0088889,1157244,1231404.15,-0.898444248,2063000000,2182000000,50.83248672,4.01,2.043730372
1573223400,377.6,382.88,377.6,381.86,377.1222222,783576,1204114.6,-0.686964197,2063000000,2182000000,54.73501159,11.13,2.043730372
1573482600,379.51,383.41,379.31,381.38,378.2644444,580913,1201987.9,-0.526913511,2063000000,2182000000,54.0223126,9.54,2.043730372
1573569000,381.56,387.5,381.56,386.3,379.1155556,910737,1204955.65,-0.263039819,2063000000,2182000000,59.80024992,15.2,2.043730372
1573655400,385.94,390.52,385.09,387.69,380.3388889,962410,1210320.55,-0.018261381,2063000000,2182000000,61.28067969,9.05,2.043730372
1573741800,387.28,392.3,387.28,390.16,381.56,915586,1205842.5,0.236978318,2063000000,2182000000,63.82975542,13.48,2.043730372
1573828200,392.27,394.49,390.28,393.55,383.6788889,1533552,1185736.8,0.521040487,2063000000,2182000000,67.03724964,14.38,2.043730372
1574087400,393,395.675,391.95,392.76,385.8044444,827764,1168394.9,0.709582881,2063000000,2182000000,65.57781893,18.28,2.043730372
1574173800,394,395.8232,390.53,390.81,387.0288889,800294,1078645.35,0.78927453,2063000000,2182000000,61.99038563,17.18,2.043730372
1574260200,391.06,393.54,390.25,392.7,388.5788889,907757,1059551.75,0.886821886,2063000000,2182000000,64.04351346,12.91,2.043730372
1574346600,390.86,392.25,389.32,390.26,389.5122222,1416867,1073535.65,0.879157045,2063000000,2182000000,59.56986505,11.51,2.043730372
1574433000,390.19,391.3894,387.82,390.74,390.5522222,758654,1052794.4,0.868650935,2063000000,2182000000,60.15945232,8.88,2.043730372
