time,open,high,low,close,MA,Volume,Volume MA,Plot,Gross profit,Free cash flow,RSI,MOM,U.S. Inflation
1572355800,48.8,49.17,48.06,48.11,46.16,12183635,18544852.45,0.032692031,1395000000,205000000,58.51758209,1.655,1.774621489
1572442200,48.22,48.3373,47.2583,47.88,46.42444444,12932759,17852690.15,0.066806075,1395000000,205000000,57.49589191,2.72,1.774621489
1572528600,47.28,47.88,46.46,47.55,46.87777778,15445762,17430741.15,0.08227957,1395000000,205000000,55.98553541,2.05,1.774621489
1572615000,47.48,48.54,47.25,48.38,47.22888889,18311723,17244171.5,0.114397663,1395000000,205000000,58.90925366,4.91,2.043730372
1572877800,49.39,49.9,49.25,49.59,47.77666667,16021450,17287629.4,0.169166453,1395000000,205000000,62.78980961,4.37,2.043730372
1572964200,49.62,49.72,48.605,48.68,48.22333333,13682559,16836038.6,0.183200599,1395000000,205000000,58.32841346,4.02,2.043730372
1573050600,48.15,48.3,47.105,47.68,48.28777778,21803641,17237152.3,0.1628805,1395000000,205000000,53.80421918,3.02,2.043730372
1573137000,48.52,49.08,48,48.4,48.32888889,19253568,17397437.85,0.162710505,1395000000,205000000,56.42491437,1.3,2.043730372
1573223400,47.56,48.005,46.95,47.19,48.16222222,18528347,16943611.5,0.125895469,1395000000,205000000,51.17108041,-0.84,2.043730372
1573482600,46.72,46.74,45.85,46.26,47.95666667,14645832,17051110.25,0.068756214,1395000000,205000000,47.50950328,-2.43,2.043730372
1573569000,46.8,47.68,46.68,46.9,47.84777778,15170689,16907267.3,0.03922754,1395000000,205000000,50.15291652,-1.21,2.043730372
1573655400,46.5,46.55,45.81,46.3,47.70888889,15839046,16855589.35,-0.001961605,1395000000,205000000,47.72631619,-1.58,2.043730372
1573741800,46.12,46.83,45.77,46.8,47.53333333,11825147,16842321.15,-0.02176693,1395000000,205000000,49.90166445,-0.75,2.043730372
1573828200,47.6,48.52,47.34,47.71,47.32444444,17865206,16424422.2,-0.013544779,1395000000,205000000,53.67975696,-0.67,2.043730372
1574087400,47.95,48.405,47.47,47.82,47.22888889,12642611,16268950.2,-0.005341297,1395000000,205000000,54.13006879,-1.77,2.043730372
1574173800,48.11,48.18,46.28,46.58,47.10666667,18393956,16488268.65,-0.033821535,1395000000,205000000,48.4160041,-2.1,2.043730372
1574260200,46.15,46.5048,45.23,45.57,46.79222222,24695539,17016395.9,-0.084088373,1395000000,205000000,44.31282578,-2.11,2.043730372
1574346600,45.3,46.18,45.04,45.55,46.61,14192911,16426487.05,-0.123636058,1395000000,205000000,44.2328847,-2.85,2.043730372
1574433000,45.93,46.38,45.75,45.87,46.56666667,11253713,15996406.25,-0.144977525,1395000000,205000000,45.91412239,-1.32,2.043730372
1574692200,46.1,47.55,45.94,47.52,46.63555556,18828567,16175833.05,-0.115790761,1395000000,205000000,53.67001439,1.26,2.043730372
1574778600,47.65,47.67,46.54,46.715,46.68166667,12919896,16212646.1,-0.114248555,1395000000,205000000,49.90965737,-0.185,2.043730372
1574865000,47.35,48.265,47.11,48.16,46.83277778,15441179,16338067.1,-0.073258288,1395000000,205000000,55.88472723,1.86,2.043730372
1575037800,47.94,47.95,47.44,47.51,46.81055556,7343564,15932957.2,-0.058977306,1366000000,68000000,52.83181241,0.71,2.043730372
1575297000,47.57,47.95,46.345,46.39,46.65166667,16094841,15822113.1,-0.078365533,1366000000,68000000,47.96916216,-1.32,2.261448832
1575383400,45.12,45.4,44.55,45.23,46.50166667,20857141,16063897.65,-0.124638739,1366000000,68000000,43.50312222,-2.59,2.261448832
1575469800,46.18,46.6,45.73,46.3,46.58277778,16930406,16226290,-0.1306403,1366000000,68000000,48.28589707,-0.28,2.261448832
1575556200,46.71,47.4,46.25,46.62,46.70166667,13016024,15786909.15,-0.125530155,1366000000,68000000,49.65846186,1.05,2.261448832
1575642600,47.44,48.33,47.32,47.93,46.93055556,20485169,15848489.2,-0.085036191,1366000000,68000000,54.93195709,2.38,2.261448832
1575901800,47.565,47.77,46.43,46.45,46.81166667,16566735,15750408.6,-0.093205759,1366000000,68000000,48.72220687,0.58,2.261448832
1575988200,47.04,47.92,46.72,47.46,46.89444444,19283615,15982297.75,-0.071602227,1366000000,68000000,52.65555537,-0.06,2.261448832
1576074600,47.75,49.34,47.69,49.26,47.01666667,22112203,16329373.45,-0.005823263,1366000000,68000000,58.73118041,2.545,2.261448832
1576161000,49.36,51.33,49.32,50.97,47.40111111,36682623,17371552.3,0.090760351,1366000000,68000000,63.52055151,2.81,2.261448832
1576247400,51.02,52.32,50.7,51.2,47.93555556,30050047,18282797.3,0.169615007,1366000000,68000000,64.12364025,3.69,2.261448832
1576506600,52.76,54.3,52.692,52.94,48.79222222,38712776,19325175.8,0.274242079,1366000000,68000000,68.38226876,6.55,2.261448832
1576593000,53.99,54,52.65,53,49.53666667,28375948,20111842.65,0.351626333,1366000000,68000000,68.52103013,7.77,2.261448832
1576679400,53,53.72,52.37,53.04,50.25,39580515,21171170.6,0.405946017,1366000000,68000000,68.61990492,6.74,2.261448832
1576765800,55.01,55.29,53.9,54.53,50.98333333,56296823,22751234.8,0.480585226,1366000000,68000000,72.13139351,7.91,2.261448832
1576852200,54.9,55.93,54.6343,55.06,51.94,44372256,24260202.05,0.543647309,1366000000,68000000,73.27690145,7.13,2.261448832
1577111400,55.23,56.11,55.14,55.4,52.82222222,23715219,24883277.35,0.591371704,1366000000,68000000,74.01479998,8.95,2.261448832
1577197800,55.45,55.64,55.035,55.42,53.50666667,8621852,24372941.6,0.617550906,1366000000,68000000,74.06017457,7.96,2.261448832
