time,open,high,low,close,MA,Volume,Volume MA,Plot,Gross profit,Free cash flow,RSI,MOM,U.S. Inflation
1573050600,24.599975,24.599975,24.263309,24.546642,24.047013,9375864,17390568.25,0.149304734,1195000000,1048000000,64.12138198,0.459999,2.043730372
1573137000,24.636642,24.904975,24.586642,24.693309,24.11219811,10401760,16972192.8,0.154284429,1195000000,1048000000,65.58886078,0.806666,2.043730372
1573223400,24.686642,24.736642,24.533309,24.676642,24.205161,6776523,16651138.6,0.15509046,1195000000,1048000000,65.2621921,0.569999,2.043730372
1573482600,24.553309,24.682642,24.406642,24.633309,24.31886467,4008010,16256934.05,0.151867303,1195000000,1048000000,64.36461739,0.793333,2.043730372
1573569000,24.513309,24.539975,24.176642,24.249976,24.38182756,8154686,16030924.35,0.13631266,1195000000,1048000000,56.90826493,0.64,2.043730372
1573655400,24.069976,24.119976,23.923309,23.983309,24.44404967,7421413,15701904.25,0.114544591,1195000000,1048000000,52.36374814,0.299999,2.043730372
1573741800,23.979976,24.039976,23.806643,23.946643,24.42812378,4819264,14210507.95,0.094488752,1195000000,1048000000,51.751797,0.523333,2.043730372
1573828200,24.103309,24.103309,23.786643,23.869976,24.35849422,8582816,11599808.75,0.074970534,1195000000,1048000000,50.42483013,-0.22,2.043730372
1574087400,23.716643,23.836643,23.584976,23.67331,24.25256844,13538887,10971447.75,0.052910811,1195000000,1048000000,47.08931784,-0.823332,2.043730372
1574173800,23.849976,23.849976,23.629976,23.669976,24.15516111,7097737,10180306.35,0.034447992,1195000000,1048000000,47.03251927,-0.956666,2.043730372
1574260200,23.516643,23.546643,23.141644,23.186643,23.98775378,10097995,9623117.75,0.006072416,1195000000,1048000000,39.57923234,-1.359999,2.043730372
1574346600,23.199977,23.286643,23.059977,23.13331,23.81627244,8387927,9580419,-0.017905899,1195000000,1048000000,38.84767416,-1.559999,2.043730372
1574433000,23.05331,23.526643,23.046644,23.50331,23.690717,7578070,9558002.05,-0.02661905,1195000000,1048000000,46.26772868,-1.173332,2.043730372
1574692200,23.46331,23.983309,23.37001,23.929976,23.65516144,10466611,9254429.95,-0.021796068,1195000000,1048000000,53.3040312,-0.703333,2.043730372
1574778600,23.886643,24.136643,23.806643,23.983309,23.65516144,13686343,9348603.05,-0.01663777,1195000000,1048000000,54.11292652,-0.266667,2.043730372
1574865000,23.899976,23.996643,23.806643,23.963309,23.65701322,5918456,9239591.9,-0.013281383,1195000000,1048000000,53.73699824,-0.02,2.043730372
1575037800,23.866643,23.959976,23.754976,23.846643,23.65442067,4502845,8884956.9,-0.013989968,1195000000,1048000000,51.48988529,-0.1,2.043730372
1575297000,23.806643,23.913309,23.326643,23.336643,23.61701322,13358236,8855767.95,-0.028484368,1195000000,1048000000,43.02073441,-0.533333,2.261448832
1575383400,23.189977,23.249977,22.699977,23.236643,23.56886511,22176583,9330241.25,-0.042342034,1195000000,1048000000,41.57668417,-0.436667,2.261448832
1575469800,23.376643,23.57331,23.29331,23.48331,23.60182811,14705975,9552800.05,-0.046084228,1195000000,1048000000,46.35959482,-0.186666,2.261448832
1575556200,23.516643,23.576643,23.269977,23.549976,23.64812433,14498948,9808954.25,-0.046767772,1195000000,1048000000,47.60798179,0.363333,2.261448832
1575642600,23.756643,23.983309,23.706643,23.756643,23.67627244,13095241,9943628.3,-0.041259949,1195000000,1048000000,51.38524054,0.623333,2.261448832
1575901800,23.68331,23.69331,23.424977,23.469977,23.62516144,11405471,10175075.7,-0.044371818,1195000000,1048000000,46.38928026,-0.033333,2.261448832
1575988200,23.299977,23.526643,23.14331,23.466643,23.56775411,10450900,10497220.2,-0.046442234,1195000000,1048000000,46.33285887,-0.463333,2.261448832
1576074600,23.606643,23.929976,23.509976,23.909976,23.56182822,15489093,10863940.55,-0.035565136,1195000000,1048000000,54.29358129,-0.073333,2.261448832
1576161000,23.856643,24.466642,23.736643,24.093309,23.58923556,19882795,11487009.65,-0.021835219,1195000000,1048000000,57.12585219,0.13,2.261448832
1576247400,24.189976,24.373309,23.879976,24.259976,23.69182811,14104748,11951283.85,-0.006555276,1195000000,1048000000,59.57811927,0.413333,2.261448832
1576506600,24.386642,24.516642,24.239976,24.263309,23.80590211,9321690,11988227.55,0.005263159,1195000000,1048000000,59.62784997,0.926666,2.261448832
1576593000,24.236642,24.493309,23.903309,24.033309,23.86701311,23308916,12476729,0.007886068,1195000000,1048000000,54.63281226,0.796666,2.261448832
1576679400,24.099976,24.526642,24.036643,24.313309,23.95182789,14110847,12827384.5,0.017127589,1195000000,1048000000,59.12224562,0.829999,2.261448832
1576765800,24.289976,24.396642,24.101643,24.196642,24.00071667,9977373,12821353.4,0.020616983,1195000000,1048000000,56.60858494,0.646666,2.261448832
1576852200,24.193309,24.413309,24.046643,24.393309,24.10330911,35541524,14179033.25,0.028057302,1195000000,1048000000,59.71770892,0.636666,2.261448832
1577111400,24.299976,24.406642,24.163309,24.239976,24.189235,11421464,14371202.95,0.028962521,1195000000,1048000000,56.32884672,0.769999,2.261448832
1577197800,24.286642,24.366642,24.257442,24.326642,24.23553122,2587013,13977223.05,0.031264665,1195000000,1048000000,57.78697278,0.859999,2.261448832
1577370600,24.333309,24.409976,24.129976,24.289976,24.25738311,5034029,13544607.35,0.031265384,1195000000,1048000000,56.92106254,0.38,2.261448832
1577457000,24.313309,24.369976,24.203309,24.283309,24.25997567,6152622,13556315.65,0.030280253,1195000000,1048000000,56.75453154,0.19,2.261448832
1577716200,24.276642,24.329976,24.029976,24.113309,24.243309,5676704,13615008.6,0.024114323,1195000000,1048000000,52.53401305,-0.146667,2.261448832
1577802600,24.059976,24.259976,24.030109,24.119976,24.25293867,6238428,13259018.2,0.018798515,1108000000,647000000,52.68262445,-0.143333,2.261448832
1577975400,24.273309,24.396642,24.083309,24.396642,24.26219789,8490545,12574716.3,0.021529747,1108000000,647000000,58.49061537,0.363333,2.474241506
1578061800,23.999976,24.313309,23.876643,24.296642,24.273309,9979032,12338369.15,0.02026281,1108000000,647000000,55.82344472,-0.016667,2.474241506
1578321000,24.059976,24.249976,23.913309,24.169976,24.24849422,14636471,12345245.3,0.015183182,1108000000,647000000,52.55441719,-0.026666,2.474241506
1578407400,24.233309,24.509975,24.053309,24.333309,24.25886456,14361065,12408536.5,0.01506892,1108000000,647000000,56.12255669,-0.06,2.474241506
1578493800,24.489976,24.609975,24.356642,24.459976,24.27367944,8612594,12268892.65,0.017814229,1108000000,647000000,58.7155802,0.22,2.474241506
1578580200,24.466642,24.583309,24.406642,24.579975,24.30590156,6462912,12069493.25,0.022548894,1108000000,647000000,61.06318195,0.253333,2.474241506
1578666600,24.573309,24.619909,24.421642,24.453309,24.32479044,6109587,11600517.95,0.022067804,1108000000,647000000,57.35567682,0.163333,2.474241506
1578925800,24.456642,24.921642,24.383309,24.896642,24.41182744,10656412,11139198.8,0.032964489,1108000000,647000000,65.29746377,0.613333,2.474241506
1579012200,24.826642,25.106642,24.736642,24.886642,24.49701256,9250044,10896463.6,0.040238379,1108000000,647000000,65.00339583,0.773333,2.474241506
1579098600,24.836642,25.193308,24.793309,24.996642,24.56367922,14355584,11148158.3,0.047815915,1108000000,647000000,66.77587943,0.876666,2.474241506
1579185000,25.216641,25.616641,25.216641,25.579974,24.70627167,21106647,11038044.85,0.068301426,1108000000,647000000,74.22976202,1.183332,2.474241506
1579271400,25.166641,25.729974,25.063308,25.466641,24.85034556,31340503,11899527.65,0.079599328,1108000000,647000000,70.90155684,1.169999,2.474241506
1579617000,25.239975,25.353308,24.883308,24.943308,24.91812322,14781590,12139738.5,0.072456674,1108000000,647000000,57.97508907,0.773332,2.474241506
1579703400,25.039975,25.063308,24.741642,24.869975,24.96367867,12779751,11001649.85,0.063265573,1108000000,647000000,56.42275775,0.536666,2.474241506
1579789800,24.846642,25.573308,24.646642,25.546641,25.071086,13105813,11085867.3,0.072909566,1108000000,647000000,65.58081184,1.086665,2.474241506
1579876200,25.559974,25.679974,25.346641,25.566641,25.19478956,10812160,11497124.65,0.07922398,1108000000,647000000,65.80952383,0.986666,2.474241506
1580135400,24.999975,25.276641,24.869975,25.056642,25.21256733,11033840,11797115.2,0.068478975,1108000000,647000000,55.65387386,0.603333,2.474241506
1580221800,25.239975,25.543308,25.099975,25.406641,25.270345,10960078,12037488,0.067914296,1108000000,647000000,60.19382882,0.509999,2.474241506
