time,open,high,low,close,MA,Volume,Volume MA,Plot,Gross profit,Free cash flow,RSI,MOM,U.S. Inflation
1572877800,58,58.235,57.91,58.14,57.09444444,6790973,5442273.1,0.241325696,NaN,3041000000,71.32814747,1.95,2.043730372
1572964200,58.4,58.88,58.25,58.59,57.31777778,5910183,5344356.25,0.263415017,NaN,3041000000,73.47317318,1.94,2.043730372
1573050600,58.5,58.84,58.32,58.76,57.59,4777823,5417314,0.279762277,NaN,3041000000,74.25671434,2.18,2.043730372
1573137000,59.23,59.71,58.98,59.1,57.85222222,5205476,5455214.4,0.295891453,NaN,3041000000,75.79653031,2.79,2.043730372
1573223400,59.01,59.05,58.55,58.9,58.06111111,3214700,5344341.25,0.296872891,NaN,3041000000,73.02934642,2.16,2.043730372
1573482600,58.5,58.94,58.39,58.64,58.20555556,1790896,5240462.7,0.284350111,NaN,3041000000,69.47822561,1.62,2.043730372
1573569000,58.6,58.85,58.38,58.48,58.35666667,3256107,4995920.6,0.264151976,NaN,3041000000,67.30915596,1.14,2.043730372
1573655400,58.21,58.81,57.93,58.61,58.53333333,4129399,4805009,0.246077629,NaN,3041000000,68.17842556,1.49,2.043730372
1573741800,58.5,58.68,58.18,58.57,58.64333333,3304632,4726018.9,0.225257369,NaN,3041000000,67.58294608,1.55,2.043730372
1573828200,58.8,59.32,58.68,59.09,58.74888889,5069905,4668629.8,0.217719629,NaN,3041000000,71.11494868,1.51,2.043730372
1574087400,59.01,59.66,59.01,59.56,58.85666667,4845462,4671030.7,0.219187861,NaN,3041000000,73.88458993,1.42,2.043730372
1574173800,59.63,59.77,59.135,59.42,58.93,4974725,4562933.55,0.211038924,NaN,3041000000,71.67982559,0.83,2.043730372
1574260200,59.15,59.44,58.73,59.11,58.93111111,4287632,4541618.7,0.190879846,NaN,3041000000,66.91803973,0.35,2.043730372
1574346600,59.38,59.71,59.08,59.49,58.99666667,5880426,4588462.3,0.180329903,NaN,3041000000,69.58528672,0.39,2.043730372
1574433000,59.52,60.05,59.5,60.05,59.15333333,6548854,4722054.75,0.182220429,NaN,3041000000,73.03555311,1.15,2.043730372
1574692200,60.04,60.505,59.66,59.82,59.30222222,8473331,4912662.2,0.172294683,NaN,3041000000,69.54603262,1.18,2.043730372
1574778600,59.77,60.24,59.7,59.92,59.44777778,7285627,5063454.05,0.162226274,NaN,3041000000,70.2124151,1.44,2.043730372
1574865000,60.16,60.34,59.97,60.19,59.62777778,4246511,5038482.6,0.156754432,NaN,3041000000,71.99428042,1.58,2.043730372
1575037800,60.23,60.3,59.92,60.03,59.73222222,3394821,4962882.05,0.143247223,NaN,3041000000,69.34695177,1.46,2.043730372
1575297000,60.25,60.47,59.675,59.76,59.75444444,5085644,4923656.35,0.120691982,NaN,3041000000,65.00312435,0.67,2.261448832
1575383400,59.16,59.16,58.64,58.93,59.7,9491198,5058667.6,0.076276674,NaN,3041000000,53.83864832,-0.63,2.261448832
1575469800,59.07,59.695,58.96,59.31,59.72222222,5926832,5059500.05,0.048327871,NaN,3041000000,57.44252678,-0.11,2.261448832
1575556200,59.4,59.88,59.17,59.6,59.73444444,4925428,5066880.3,0.031162724,NaN,3041000000,60.00853486,0.49,2.261448832
1575642600,60.25,60.58,60.11,60.14,59.74444444,5894316,5101322.3,0.029403102,NaN,3041000000,64.32232643,0.65,2.261448832
1575901800,59.99,60.41,59.91,60,59.76444444,4427657,5161970.15,0.021218569,NaN,3041000000,62.44177153,-0.05,2.261448832
1575988200,59.83,60.16,59.71,59.95,59.76777778,5719437,5358397.2,0.010606039,NaN,3041000000,61.74743526,0.13,2.261448832
1576074600,60.06,60.45,59.19,59.25,59.66333333,8940532,5642618.45,-0.019316859,NaN,3041000000,52.88173494,-0.67,2.261448832
